run,experiment,fitness,eval_time_ms
6,19,433.329763475971,0.5117
7,0,414.158129603221,0.5868
7,1,451.356053935849,0.5868
7,2,468.947018878572,0.5868
7,3,400.488618990661,0.5868
7,4,323.24589743853,0.5868
7,5,538.732123606385,0.5868
7,6,494.447892843934,0.5868
7,7,374.132158422503,0.5868
7,8,448.53671390778,0.5868
7,9,312.528135994125,0.5868
7,10,504.466392239948,0.5868
7,11,447.528461713339,0.5868
7,12,432.391520081378,0.5868
7,13,470.264354844775,0.5868
7,14,421.238961677532,0.5868
7,15,383.50458655758,0.5868
7,16,394.4850666341,0.5868
7,17,421.294960248593,0.5868
7,18,307.080880355584,0.5868
7,19,472.863214856335,0.5868
8,0,534.962929533695,0.3213
8,1,415.68337537914,0.3213
8,2,466.707093558373,0.3213
8,3,539.67164493366,0.3213
8,4,431.813404589001,0.3213
8,5,402.670793725816,0.3213
8,6,411.647474250823,0.3213
8,7,397.992033638829,0.3213
8,8,592.385855132813,0.3213
8,9,686.833890874995,0.3213
8,10,387.620148272523,0.3213
8,11,527.681931290203,0.3213
8,12,404.453175302838,0.3213
8,13,416.725862372124,0.3213
8,14,405.81349540081,0.3213
8,15,444.45364464752,0.3213
8,16,344.717537550728,0.3213
8,17,326.11883835904,0.3213
8,18,421.719563750536,0.3213
8,19,423.501030843288,0.3213
9,0,544.095707186973,0.2998
9,1,283.002214855202,0.2998
9,2,332.508205372576,0.2998
9,3,437.553050109822,0.2998
9,4,393.497929688038,0.2998
9,5,430.269428370706,0.2998
9,6,566.411979548202,0.2998
9,7,459.230342137866,0.2998
9,8,378.052173839794,0.2998
9,9,350.397408562519,0.2998
9,10,429.851612733549,0.2998
9,11,382.732797663863,0.2998
9,12,388.182706627259,0.2998
9,13,487.466360469323,0.2998
9,14,433.752970227222,0.2998
9,15,556.12152448221,0.2998
9,16,383.798170964433,0.2998
9,17,368.182265373543,0.2998
9,18,499.695255233665,0.2998
9,19,388.045101478644,0.2998
10,0,530.920408937331,0.3746
10,1,436.721305072381,0.3746
10,2,331.049853032196,0.3746
10,3,517.709242209608,0.3746
10,4,292.800815800117,0.3746
10,5,464.358336533747,0.3746
10,6,341.546160141159,0.3746
